Command	Real	User	System
sh -c 'echo y | newfs /dev/rdsk/c1t1d0s1'	7.9	1	0.4
cp -r /export/ultra2/100MB_dir /mnt	109.5	0.4	6.9
rm -r /mnt/100MB_dir	73.6	0.1	1.5
dd if=/dev/zero of=/mnt/BigZero count=1000	0.1	0	0
sh -c 'echo y | newfs /dev/rdsk/c1t1d0s1'	8	0.7	0.6
cp -r /export/ultra2/100MB_dir /mnt	108.3	0.2	6.5
rm -r /mnt/100MB_dir	73.5	0.1	1.5
dd if=/dev/zero of=/mnt/BigZero count=1000	0.1	0	0
sh -c 'echo y | newfs /dev/rdsk/c1t1d0s1'	8.1	0.9	0.6
cp -r /export/ultra2/100MB_dir /mnt	109.1	0.3	6.5
rm -r /mnt/100MB_dir	72	0	1.5
dd if=/dev/zero of=/mnt/BigZero count=1000	0.1	0	0

sh -c 'echo y | newfs /dev/rdsk/qds0'	9.3	0.9	1
cp -r /export/ultra2/100MB_dir /mnt	150.1	0.4	10.3
rm -r /mnt/100MB_dir	80.2	0.1	2.8
dd if=/dev/zero of=/mnt/BigZero count=1000	0.2	0	0
sh -c 'echo y | newfs /dev/rdsk/qds0'	8.3	0.9	1.2
cp -r /export/ultra2/100MB_dir /mnt	138.6	0.3	10.1
rm -r /mnt/100MB_dir	86.5	0.1	2.8
dd if=/dev/zero of=/mnt/BigZero count=1000	0.2	0	0
sh -c 'echo y | newfs /dev/rdsk/qds0'	9.3	0.9	1
cp -r /export/ultra2/100MB_dir /mnt	143.6	0.4	10.1
rm -r /mnt/100MB_dir	81.2	0.1	2.9
dd if=/dev/zero of=/mnt/BigZero count=1000	0.2	0	0.1

sh -c 'echo y | newfs /dev/rdsk/qds0'	7.6	0.8	0.9
cp -r /export/ultra2/100MB_dir /mnt	128.4	0.3	10.1
rm -r /mnt/100MB_dir	81.8	0.1	2.8
dd if=/dev/zero of=/mnt/BigZero count=1000	0.2	0	0.1
sh -c 'echo y | newfs /dev/rdsk/qds0'	7.6	0.8	0.9
cp -r /export/ultra2/100MB_dir /mnt	125.4	0.3	9.6
rm -r /mnt/100MB_dir	84.3	0.2	2.7
dd if=/dev/zero of=/mnt/BigZero count=1000	0.2	0	0.1
sh -c 'echo y | newfs /dev/rdsk/qds0'	7.6	0.8	0.9
cp -r /export/ultra2/100MB_dir /mnt	127.6	0.3	9.9
rm -r /mnt/100MB_dir	81.1	0.2	2.5
dd if=/dev/zero of=/mnt/BigZero count=1000	0.2	0	0.1
